DeepReachProbe: maxFaces=160 perSet=12min — 3 n=3 deficit sets
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  260s] states=96279    (370/s)  frontier~18  faces~102/max163 tilings=7
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  270s] states=99994    (370/s)  frontier~22  faces~130/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  280s] states=104048   (371/s)  frontier~15  faces~96/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  290s] states=107948   (372/s)  frontier~49  faces~152/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  300s] states=111530   (371/s)  frontier~11  faces~124/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  310s] states=115309   (371/s)  frontier~16  faces~124/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  320s] states=119308   (372/s)  frontier~41  faces~160/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  330s] states=122753   (371/s)  frontier~22  faces~132/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  340s] states=125767   (369/s)  frontier~9  faces~154/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  350s] states=128590   (367/s)  frontier~15  faces~146/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  360s] states=131925   (366/s)  frontier~21  faces~115/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  370s] states=135740   (366/s)  frontier~26  faces~149/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  380s] states=140274   (369/s)  frontier~18  faces~157/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  390s] states=144840   (371/s)  frontier~25  faces~142/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  400s] states=149200   (372/s)  frontier~40  faces~120/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  410s] states=153054   (373/s)  frontier~22  faces~95/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  420s] states=157396   (374/s)  frontier~31  faces~145/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  430s] states=162085   (376/s)  frontier~30  faces~159/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  440s] states=166328   (377/s)  frontier~27  faces~139/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  450s] states=171093   (380/s)  frontier~23  faces~152/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  460s] states=176010   (382/s)  frontier~27  faces~142/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  470s] states=180366   (383/s)  frontier~18  faces~151/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  480s] states=185005   (385/s)  frontier~27  faces~158/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  490s] states=189567   (386/s)  frontier~14  faces~140/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  500s] states=193865   (387/s)  frontier~40  faces~148/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  510s] states=198046   (388/s)  frontier~39  faces~128/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  520s] states=202899   (390/s)  frontier~24  faces~130/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  530s] states=207682   (391/s)  frontier~19  faces~142/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  540s] states=211534   (391/s)  frontier~15  faces~153/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  550s] states=215818   (392/s)  frontier~21  faces~152/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  560s] states=219305   (391/s)  frontier~28  faces~138/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  570s] states=222143   (389/s)  frontier~16  faces~155/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  580s] states=225693   (389/s)  frontier~22  faces~153/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  590s] states=230002   (389/s)  frontier~29  faces~156/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  600s] states=234306   (390/s)  frontier~17  faces~134/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  610s] states=238465   (390/s)  frontier~24  faces~124/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  620s] states=243055   (391/s)  frontier~25  faces~156/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  630s] states=247633   (392/s)  frontier~36  faces~128/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  640s] states=252050   (393/s)  frontier~34  faces~154/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  650s] states=255595   (393/s)  frontier~17  faces~134/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  660s] states=258861   (392/s)  frontier~18  faces~90/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  670s] states=262508   (391/s)  frontier~20  faces~156/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  680s] states=266492   (391/s)  frontier~35  faces~150/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  690s] states=270303   (391/s)  frontier~23  faces~145/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  700s] states=274337   (391/s)  frontier~24  faces~150/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  710s] states=279123   (393/s)  frontier~26  faces~152/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  720s] states=282966   (392/s)  frontier~6  faces~90/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  730s] states=285454   (390/s)  frontier~0  faces~149/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  740s] states=288018   (389/s)  frontier~0  faces~101/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  750s] states=290309   (387/s)  frontier~0  faces~150/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  760s] states=292894   (385/s)  frontier~0  faces~128/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  770s] states=295759   (384/s)  frontier~0  faces~150/max163 tilings=8
    3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6            [  780s] states=297772   (381/s)  frontier~0  faces~152/max163 tilings=8
>>> 3.3.3.3.3.3; 3.3.3.3.6; 3.3.6.6          reached=2/3  [STILL SHORT (was 2/3 @96)]  790s
[done]
