=== n=4 oracle sweep START 2026-06-24T23:54:33+02:00  parallelism=12  -Xmx12g  per-step=5400s ===
log: sweep-logs/n4-sweep-20260624-235433.log

############### maxSize=26  started 2026-06-24T23:54:33+02:00 ###############
DischargeRProbe: PARALLEL generate-all enumerateSymbolsParallel(maxN=4, maxSize=26, parallelism=12) ...
  [maxSize=28] 3420s  dsets=221556099 (64780/s)  distinct=86
  [maxSize=28] 3435s  dsets=222342754 (64726/s)  distinct=86
  [maxSize=28] 3450s  dsets=223188630 (64690/s)  distinct=86
  [maxSize=28] 3465s  dsets=223897226 (64615/s)  distinct=86
  [maxSize=28] 3480s  dsets=224834712 (64605/s)  distinct=86
  [maxSize=28] 3495s  dsets=225916860 (64638/s)  distinct=86
  [maxSize=28] 3510s  dsets=226750580 (64599/s)  distinct=86
  [maxSize=28] 3525s  dsets=227560565 (64554/s)  distinct=86
  [maxSize=28] 3540s  dsets=228381625 (64512/s)  distinct=86
  [maxSize=28] 3555s  dsets=229202045 (64471/s)  distinct=86
  [maxSize=28] 3570s  dsets=230210166 (64482/s)  distinct=86
  [maxSize=28] 3585s  dsets=231230385 (64497/s)  distinct=86
  [maxSize=28] 3600s  dsets=232114895 (64474/s)  distinct=86
  [maxSize=28] 3615s  dsets=232851696 (64410/s)  distinct=86
  [maxSize=28] 3630s  dsets=233824833 (64412/s)  distinct=86
  [maxSize=28] 3645s  dsets=234733459 (64396/s)  distinct=86
  [maxSize=28] 3660s  dsets=235616789 (64374/s)  distinct=86
  [maxSize=28] 3675s  dsets=236431084 (64333/s)  distinct=86
  [maxSize=28] 3690s  dsets=237248337 (64293/s)  distinct=86
  [maxSize=28] 3705s  dsets=237918907 (64213/s)  distinct=86
  [maxSize=28] 3720s  dsets=238568096 (64129/s)  distinct=86
  [maxSize=28] 3735s  dsets=239154892 (64029/s)  distinct=86
  [maxSize=28] 3750s  dsets=239821790 (63950/s)  distinct=86
  [maxSize=28] 3765s  dsets=240654541 (63917/s)  distinct=86
  [maxSize=28] 3780s  dsets=241252604 (63821/s)  distinct=86
  [maxSize=28] 3795s  dsets=241811936 (63716/s)  distinct=86
  [maxSize=28] 3810s  dsets=242335848 (63603/s)  distinct=86
  [maxSize=28] 3825s  dsets=243073548 (63546/s)  distinct=86
  [maxSize=28] 3840s  dsets=243822878 (63493/s)  distinct=86
  [maxSize=28] 3855s  dsets=244497793 (63421/s)  distinct=86
  [maxSize=28] 3870s  dsets=245222228 (63363/s)  distinct=86
  [maxSize=28] 3885s  dsets=245848944 (63279/s)  distinct=86
  [maxSize=28] 3900s  dsets=246591482 (63226/s)  distinct=86
  [maxSize=28] 3915s  dsets=247174701 (63133/s)  distinct=86
  [maxSize=28] 3930s  dsets=247894847 (63075/s)  distinct=87
  [maxSize=28] 3945s  dsets=248573770 (63008/s)  distinct=87
  [maxSize=28] 3960s  dsets=249241623 (62938/s)  distinct=87
  [maxSize=28] 3975s  dsets=249961463 (62881/s)  distinct=87
  [maxSize=28] 3990s  dsets=250662461 (62820/s)  distinct=88
  [maxSize=28] 4005s  dsets=251205238 (62721/s)  distinct=88
  [maxSize=28] 4020s  dsets=251800617 (62635/s)  distinct=88
  [maxSize=28] 4035s  dsets=252353802 (62539/s)  distinct=88
  [maxSize=28] 4050s  dsets=252823033 (62423/s)  distinct=88
